Ranking,Pontos,Nome,Clube,Rating,Categoria
12,1753,MARIANY NONAKA,ASSOCIAÇÃO CHAPECOENSE - SC,B,F
13,1746,MAYARA NEVES,FUNDAÇÃO MUNICIPAL DE ESPORTES DE CONCÓRDIA-SC,B,F
14,1745,KIM INOKUCHI,SANTO ANDRÉ / ADSA - SP,B,F
15,1740,BARBARA PERRONE,CLUBE DE CAMPO DE PIRACICABA-CCP-SP,B,F
16,1739,AMY SEKIMOTO,SANTO ANDRÉ / ADSA - SP,B,F
17,1721,ALESSANDRA SILVA,SR MAMPITUBA/FME CRICIÚMA-SC,B,F
18,1712,VALESCA MARANHÃO,CLUBE CAÇA E TIRO 1O. DE JULHO-SC,B,F
19,1709,GIOVANA SHIOZAKI,CLUBE ITUANO DE ESPORTES-SP,B,F
20,1686,LUCIANA COUTINHO,AABB BRASÍLIA/RIZZONE - DF,B,F
21,1684,TAINÁ SILVA,ASSOC. SÃO BENTO DO SUL DE T.M.-SC,B,F
22,1683,FABIANA SHINTATE,KOSMOS CLUBE - SP,B,F
23,1657,ANA BONSERE,YARA TOLEDO - PR,B,F
24,1652,EUGENIA FERREIRA,FUNDAÇÃO MUNICIPAL DE ESPORTES DE CONCÓRDIA-SC,B,F
25,1647,MARIA PASSOS,ADFP/CLUBE DUQUE DE CAXIAS-CURITIBA-PR,B,F
26,1646,GENIFER ZHAO,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,B,F
27,1625,CLAUDIA IKEIZUMI,ADC ESTRELA / JOOLA / SANTOS FC / FUPES - SP,B,F
28,1620,GESSICA LOPES,NETO TT BAL. CAMBORIU SC,B,F
28,1620,SOFIA CALDERANO,FLUMINENSE FOOTBALL CLUB - RJ,B,F
30,1615,KELLY NAGAOKA,GRESFI LADÁRIO-PR,B,F
31,1614,LIZIE RODRIGUES,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,B,F
31,1614,JENNYFER PARINOS,FRANTT-TIBHAR/CAFÉ MORRO GRANDE/SELAM/PIRACICABA-SP,B,F
33,1611,CAROLINE KAGOHARA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,B,F
34,1606,MILLENA SANTOS,ASSOCIAÇÃO DOS DEFICIENTES FÍSICOS DE GOIÁS-ADFEGO-GO,B,F
1,1592,PRISCILA NASCIMENTO,FRANTT-TIBHAR/CAFÉ MORRO GRANDE/SELAM/PIRACICABA-SP,C,F
2,1587,MARLIANE SANTOS,APMDFESP - SP,C,F
3,1582,NATHALIA BARREIRA,CLUBE DE CAMPO DE PIRACICABA-CCP-SP,C,F
4,1579,MARIA FERNANDES,ASSOC. NOVA ERA DE T.M.-SP,C,F
5,1564,CATIA OLIVEIRA,ASSOC. NOVA ERA DE T.M.-SP,C,F
6,1561,THAIS HASEGAVA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,C,F
7,1553,RANIFER MEURER,ASSOCIAÇÃO RIO DO SUL - SC,C,F
8,1550,BRUNNA ROSA,ITAIM KEIKO / JJYAMADA - SP,C,F
9,1546,GABRIELA KOCK,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,C,F
10,1544,GERUSA MANHANI,SR MAMPITUBA/FME CRICIÚMA-SC,C,F
11,1541,PATRICIA RABONI,AMERICANA - SP,C,F
12,1530,MAITÊ SANMARTIN,KOSMOS CLUBE - SP,C,F
13,1527,HAYLLE LEITE,ASSOC. NOVA ERA DE T.M.-SP,C,F
13,1527,CAMILA KATSUNO,BOCHÓFILO SANTO ANDRÉ,C,F
15,1526,LAÍS HAYASHI,ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA-AMTM - PR,C,F
16,1525,LAIS HASEGAVA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,C,F
17,1524,SHEILA SOUSA,ASSOCIAÇÃO GOIANA DE TÊNIS DE MESA-AGTM-GO,C,F
17,1524,KATHERINE FERREIRA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,C,F
19,1519,JULIANE KAGOHARA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,C,F
