Ranking,Pontos,Nome,Clube,Rating,Categoria
320,682,EDUARDO ARAKAKI,ADM - MARÍLIA - SP,I,M
321,681,KIOCHINIKI SALDANHA,SPORT CLUB RECIFE,I,M
321,681,PABLO LIMA,ESPORTE CLUBE PEDRO DO RIO - RJ,I,M
323,680,TIAGO SGANZERLA,CLUBE FANTOCHES - BA,I,M
323,680,JOSE TUCCI,NOSSO CLUBE DE LIMEIRA-SP,I,M
323,680,ANDRÉ MOREIRA,JUNDIAÍ CLUBE-SP,I,M
323,680,IGOR BARTHALO,ESTRELA DE OURO - SP,I,M
327,678,EDUARDO TAKAHASHI,INTERCOLONIAL,I,M
327,678,ADOLFO JANUARIO,ESTRELA DE OURO - SP,I,M
327,678,GEORGE ANDRADE,ITAPIRA CLUBE,I,M
327,678,CRISTIAN MORIMOTO,NIPO DOURADOS - MS,I,M
327,678,SILVIO MAROLA,JUNDIAÍ CLUBE-SP,I,M
327,678,DANIEL BERRI,FME - INDAIAL - SC,I,M
333,677,LEONARDO CORRÊA,ADM - PETRÓPOLIS - RJ,I,M
333,677,LUIZ SHIOMI,ASSOCIAÇÃO DOS MESATENISTAS DE GUAIRA-PR,I,M
333,677,JEAN SPITZNER,ASSOC. SÃO BENTO DO SUL DE T.M.-SC,I,M
333,677,NATANAEL ANDRADE,ACADEMIA BAIANA - BA,I,M
333,677,WALMIR COSTA,ASSOCIAÇÃO RIOPRETENSE DE TENIS DE MESA - SP,I,M
338,676,RAFAEL VIEIRA,PENDRAGON SÃO LUIS - MA,I,M
338,676,MARCELO RODRIGUES,ASMETT BRASÍLIA - DF,I,M
338,676,JULIANO MARQUES,FUNDAÇÃO MUNICIPAL DE ESPORTES DE CONCÓRDIA-SC,I,M
338,676,JONATAN SANTOS,ULBRA PALMAS - TO,I,M
338,676,REGINALDO ALVES,ASSOCIAÇÃO GOIANA DE TÊNIS DE MESA-AGTM-GO,I,M
338,676,JOSE HORA,JARAGUÁ TÊNIS CLUBE - AL,I,M
344,675,VALCIMAR CASTRO,ASSOCIAÇÃO ATLÉTICA ADALBERTO VALLE - AM,I,M
344,675,GABRIEL SANTOS,AMERICANA - SP,I,M
346,674,FELIPE KOBAYASHI,ACEI ITAPEVI - SP,I,M
346,674,JESSE JAMES,ASSOCIAÇÃO ATLÉTICA ADALBERTO VALLE - AM,I,M
346,674,TONY SOUZA,ASSEMBLÉIA PARAENSE - PA,I,M
346,674,JOAO AZEVEDO,POTI CLUBE - NATAL,I,M
346,674,ALEXANDRE CALDEIRA,CEDESC CAMPO GRANDE,I,M
346,674,GABRIEL NASCIMENTO,ACADEMIA APUIARENSE - CE,I,M
346,674,GUSTAVO CHAGAS,NIPPON TÊNIS DE MESA - SP,I,M
346,674,GUILHERME ALMEIDA,OI ART/360TT - MG,I,M
354,673,VITOR IWAMOTO,CENTRO DE TREINAMENTO GYNTT-GO,I,M
354,673,RAFAEL SANTOS,NIKKEI CURITIBA - PR,I,M
354,673,RICARDO BUZO,ADM - MARÍLIA - SP,I,M
354,673,DANILO SANTOS,ASSOCIAÇÃO RIO DO SUL - SC,I,M
354,673,ALAN ALMEIDA,ASSOC. VARGINHENSE DE ESPORTE-MG,I,M
359,672,DIEGO ALBUQUERQUE,ASSOCIAÇÃO ESPORTIVA LASSALISTA - AM,I,M
359,672,JOSÉ MARTINS,YPIRANGA ESPORTE CLUBE - AP,I,M
359,672,EMERSON PECANHA,C.R VASCO DA GAMA - RJ,I,M
359,672,GILBERTO SARDA,ASSOCIAÇÃO RIO DO SUL - SC,I,M
359,672,LIPIO NASCIMENTO,PING TABLE TENNIS AERO CLUBE-RN,I,M
364,671,DOUGLAS PEREIRA,FUNDAÇÃO MUNICIPAL DE ESPORTES DE CONCÓRDIA-SC,I,M
364,671,ALVARO VIEIRA,PINGUINS INDAIAL-SC,I,M
364,671,BERNARDO CORDEIRO,SPORT CLUB RECIFE - PE,I,M
367,670,RICARDO BARROS,SÃO CARLOS TM - SP,I,M
367,670,FELIPE MIYASHIRO,JUNDIAÍ CLUBE-SP,I,M
367,670,VINICIUS GOIS,ACADEMIA SERGIPANA - SE,I,M
367,670,HEVISLEY CORREA,AABB CRICIUMA,I,M
367,670,ERICK SOUZA,ACADEMIA SERGIPANA - SE,I,M
372,669,MARCELO PEREIRA,ASTM - ASSOCIAÇÃO SERRANA DE TÊNIS DE MESA-RJ,I,M
372,669,OTAVIO MENDONÇA,ASSOC. NOVA ERA DE T.M.-SP,I,M
374,668,VINICIUS MANGRICH,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,I,M
374,668,DANTE GRANDE,CONFEDERAÇÃO BRASILEIRA DE TÊNIS DE MESA - CBTM,I,M
374,668,HÉLIO SAKATA,ASSOC. DOS MESATENISTAS DE CASCÁVEL-PR,I,M
374,668,FELIPE NICOLINI,JUNDIAÍ CLUBE-SP,I,M
374,668,HEDER ONO,NIPO CAMPO GRANDE - MS,I,M
379,667,JOSÉ RAMOS,ULBRA PALMAS - TO,I,M
379,667,JORGE BRAGA,ITAPIRA CLUBE,I,M
379,667,THIAGO NOE,OCIAN PRAIA CLUBE - SP,I,M
379,667,ANTONIO ALVES,SOCIEDADE THALIA CURITIBA - PR,I,M
379,667,ANDERSON AZEREDO,SANTA MONICA CENTRO EDUCACIONAL-RJ,I,M
379,667,ALDO DEDEMO,NIKKEI CURITIBA - PR,I,M
385,666,ROBERTO PLASTINO,C.R VASCO DA GAMA - RJ,I,M
386,665,RODRIGO CAMARGO,CLUBE CONCÓRDIA - SC,I,M
386,665,JOSE CAVALCANTI,SPORT CLUB RECIFE,I,M
386,665,DANIEL VASCONCELOS,ASSOCIAÇÃO TERESINENSE DE TÊNIS DE MESA - PI,I,M
386,665,FABIO FERRAZ,FRANTT-TIBHAR/CAFÉ MORRO GRANDE/SELAM/PIRACICABA-SP,I,M
386,665,ERICK SATO,ASSOC. VARGINHENSE DE ESPORTE-MG,I,M
391,664,ANDERSON TOMMASI,SR MAMPITUBA/FME CRICIÚMA-SC,I,M
391,664,DIOGENES COSTA,AABB BRASÍLIA/RIZZONE - DF,I,M
391,664,MAURICIO FERREIRA,ASSOCIAÇÃO ESPORTIVA LASSALISTA - AM,I,M
394,662,ALONSO CAMANDAROBA,ASSOCIAÇÃO FEIRENSE - BA,I,M
394,662,WILSON BATISTA,ASSOCIAÇÃO ITAJAIENSE - SC,I,M
394,662,THIAGO DIOGO,JUNDIAÍ CLUBE-SP,I,M
394,662,VINICIUS CORREA,ASSOCIAÇÃO VIDEIRENSE - SC,I,M
398,661,MATHEUS SANTOS,CT TOBIAS BARRETO-SE,I,M
398,661,IGOR SCHWARZBERG,ITAIM KEIKO / JJYAMADA - SP,I,M
398,661,VICTOR CAVALCANTE,AABB NATAL - RN,I,M
398,661,RODRIGO CORREA,ASSOCIAÇÃO DE TRÊS BARRAS - SC,I,M
398,661,EDIMARIO JOAQUIM,ASSOCIAÇÃO DESPORTIVA CABENSE - PE,I,M
398,661,BRUNO QUEIROGA,JARAGUÁ TÊNIS CLUBE - AL,I,M
404,660,TOMAS YOON,PINGUINS INDAIAL-SC,I,M
405,659,LUCAS NASCIMENTO,KOSMOS CLUBE - SP,I,M
405,659,LUCIANO ANDRADE,ITAPIRA CLUBE,I,M
405,659,MURILO CANOBRE,BRANYL CAPIVARI - SP,I,M
408,658,ALEXANDRE SAMPAIO,SPORT CLUB RECIFE,I,M
408,658,DAVI LUCOF,ASSOCIAÇÃO BANDAS MARISTA PIO XII - PR,I,M
410,657,LUIZ IMADA,KOSMOS CLUBE - SP,I,M
410,657,ALEKSANDRE DUTRA,CANTO DO RIO - RJ,I,M
412,656,RAFHAEL NAVARRO,ADM - MARÍLIA - SP,I,M
412,656,JEREMIAS VIEIRA,APCEF MANAUS - AM,I,M
412,656,MAYCOON SILVA,CAMAÇARIENSE TM - BA,I,M
412,656,NIVALDO SANTOS,CLUBE NIPO DE BRASÍLIA - DF,I,M
412,656,JEAN HAMMA,SAMA ASSAÍ - PR,I,M
417,655,FELIPE TELES,FLUMINENSE FOOTBALL CLUB - RJ,I,M
417,655,ALCEU MOWKA,SOCIEDADE THALIA CURITIBA - PR,I,M
417,655,ANDRE MELO,ASSOCIAÇÃO BONGI DE TENIS DE MESA-PE,I,M
417,655,I TI YANG,ACADEMIA BAIANA - BA,I,M
417,655,KENJI SALDANHA,SPORT CLUB RECIFE,I,M
417,655,CLECIO MOURA,C.R VASCO DA GAMA - RJ,I,M
423,654,KEVIN DAMASCENO,CAMAÇARIENSE TM - BA,I,M
423,654,MARCO MANCINI,CCBA GORILLA-ES,I,M
423,654,MARCELO LIMA,SOCIEDADE GINÁSTICA DE SÃO LEOPOLDO - RS,I,M
426,653,LINALDO PINHEIRO,ASSOCIAÇÃO DESPORTIVA CAXIENSE-MA,I,M
426,653,GLADSTON COSTA ROSA ROSA,AABB FORTALEZA - CE,I,M
426,653,JOSE GOES,ACADEMIA CEARENSE - CE,I,M
426,653,IREALVO BRITO,PARÁ CLUBE - PA,I,M
430,652,MARCELO PENALVA,ASSOCIAÇÃO ATLÉTICA UNICAP - PE,I,M
430,652,SERGIO CAMARDA,CLUBE CONCÓRDIA - SC,I,M
430,652,PEDRO TRINCA,ASSOC. CULT. E ESP. DOS MESATENISTAS DE VOTORANTIM-SP,I,M
433,651,ERICK PARREIRA,ASSOCIAÇÃO ANAPOLINA DE TÊNIS DE MESA - GO,I,M
433,651,BORYEL ANDRADE,MACAE T.M.-RJ,I,M
435,650,NILTON TAKAOKA,ATEMEL/ACEL LONDRINA - PR,I,M
435,650,EDUARDO GOES,NÁUTICO BOA VISTA,I,M
1,649,CHARLES BLASIUS,SR MAMPITUBA/FME CRICIÚMA-SC,J,M
1,649,ANDRÉ RUIVO,PARÁ CLUBE - PA,J,M
1,649,PEDRO LEAO,ASSOCIAÇAO BARBOSA DE LUTAS ESPORTIVAS,J,M
1,649,ANDRÉ DINIZ,AABB NATAL - RN,J,M
1,649,MATEUS NUNES,APCEF MANAUS - AM,J,M
6,648,JULIANO GOULART,ASSOÇIAÇÃO DE TÊNIS DE MESA JARAGUAENSE-SC,J,M
6,648,MURILO LOPES,APCEF MANAUS - AM,J,M
8,647,GILBERTO GIRARDI,SOGIPA PORTO ALEGRE - RS,J,M
8,647,KLEITON BORGES,ASSOCIAÇÃO ATLÉTICA UNICAP - PE,J,M
10,646,WASHINGTON CASTRO,ASSOCIAÇÃO M. NOGUEIRA DE TÊNIS DE MESA-DF,J,M
11,645,ARTHUR ASSUNÇÃO,MADUREIRA ESPORTE CLUBE - RJ,J,M
11,645,EDUARDO QUERINO,MADUREIRA ESPORTE CLUBE - RJ,J,M
11,645,SANDRO COSTA,CLUBE MUNICIPAL RIO DE JANEIRO - RJ,J,M
11,645,JULIANO BASSANI,ACADEMIA CEARENSE - CE,J,M
11,645,PATRICK ARAUJO,CMB BARCARENA CLUBE - PA,J,M
11,645,FABIO MENDES,ASSOCIAÇÃO ESPORTIVA SOCIAL ERMELINDA VITAL - MG,J,M
11,645,IGOR CASTRO,ASSOC. DOS MESATENISTAS DO MUNIC. DE ITORORO-BA,J,M
18,644,PAULO FERREIRA,ASSOCIAÇÃO ANAPOLINA DE TÊNIS DE MESA - GO,J,M
18,644,VÍTOR NASCIMENTO,ACADEMIA SERGIPANA - SE,J,M
18,644,ANTONIO MAGALHÃES,ITAIM KEIKO / JJYAMADA - SP,J,M
21,643,LUIZ COSTA,SOCIEDADE GINÁSTICA DE SÃO LEOPOLDO - RS,J,M
21,643,BYUNG LEE,APMDFESP - SP,J,M
21,643,ANTONIO FERNANDES,CLUBE DOS DIÁRIOS - CE,J,M
21,643,EDUARDO TEODORO,ASSOCIAÇÃO FITPONG DE TÊNIS DE MESA-DF,J,M
25,642,VICTOR ALMEIDA,ACADEMIA BAIANA - BA,J,M
25,642,RODRIGO MAIA,ALDEOTA SUL,J,M
25,642,LUCAS GEBAILE,ASSOC. CULT. E ESP. DOS MESATENISTAS DE VOTORANTIM-SP,J,M
25,642,JOAO LIMA,JUNDIAÍ CLUBE-SP,J,M
25,642,LEO LOPES,CLUBE DE CAMPO DE PIRACICABA-CCP-SP,J,M
25,642,BRENO SOUZA,ASSOC. NOVA ERA DE T.M.-SP,J,M
31,641,LUIZ CAMPOS,UCEG - UNIÃO CULTURAL E ESPORTIVA GUARULHENSE-SP,J,M
31,641,UBIRATÃ GONZALES,PRÓ TÊNIS DE MESA DE JOAÇABA - SC,J,M
31,641,THIAGO OGURA,JUNDIAÍ CLUBE-SP,J,M
31,641,MARCEL TANABE,ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA-AMTM - PR,J,M
35,640,EVANDRO MANHÃES,ASSOCIAÇÃO PRATICANTES DE TÊNIS DE MESA-RJ,J,M
35,640,RENATO ADAMA,CT MORIMOTO - MT,J,M
37,639,RICARDO NARUSAWA,ASSOCIAÇÃO DESPORTIVA INDAIATUBANA-SP,J,M
38,638,CRISTIANO TARUHN,ASSOCIAÇÃO VIDEIRENSE - SC,J,M
38,638,GUSTAVO CUNHA,ASSOCIAÇÃO AMIGOS DO TÊNIS DE MESA-SC,J,M
38,638,ALEXANDRE SALES,ASSOCIAÇÃO ATLÉTICA UNICAP - PE,J,M
41,637,DANIEL ROCHA,CLUBE NIPO DE BRASÍLIA - DF,J,M
41,637,JOÃO SOUSA,JUNDIAÍ CLUBE-SP,J,M
41,637,SERGIO OFUGI,ASSOC. ESPORTIVA E PARADESPORTIVA DE ITAPOÁ-SC,J,M
41,637,JOSÉ MOURAO,ASSOCIAÇÃO CARIOCA DE TÊNIS DE MESA - RJ,J,M
41,637,WILLYAN FRANÇA,ASSOCIAÇÃO CARUARUENSE/IBRA/PMC- PE,J,M
41,637,OCTAVIO BERNARDO,NIPO CAMPO MOURÃO - PR,J,M
47,636,PATRICK YEH,SÃO BERNARDO / ASA / PALMEIRAS - SP,J,M
47,636,MARCOS BRANDÃO,ASSOCIAÇÃO GRAPIUNA DE TÊNIS DE MESA - BA,J,M
47,636,FRANKLIN CORREIA,ITAIM KEIKO / JJYAMADA - SP,J,M
50,635,LUCIANO MOREIRA,ASSOCIAÇÃO CARUARUENSE/IBRA/PMC- PE,J,M
50,635,CLAUDIO RAMOS,CENTRO ISRAELITA DE PERNAMBUCO-PE,J,M
52,634,YORITAKA SAWADA,INTERCOLONIAL,J,M
52,634,ERIC MORAIS,ASSOCIAÇÃO ATLÉTICA UNICAP - PE,J,M
52,634,DURVAN SANTOS,ASSOCIAÇÃO CHAPECOENSE - SC,J,M
52,634,FERNANDO MONTEIRO,ASSOCIAÇÃO TERESINENSE DE TÊNIS DE MESA - PI,J,M
56,633,KAUÃ ARAUJO,CLUBE DE TÊNIS DE MESA JACAREÍ - SP,J,M
56,633,STEFANO NASCIMENTO,CENTRO DE TREINAMENTO GYNTT-GO,J,M
56,633,EMERSON ARANHA,ASSOCIAÇÃO ESPORTIVA LASSALISTA - AM,J,M
56,633,CLAUDIO LELLI,ESTRELA DE OURO - SP,J,M
56,633,NAPOLEAO GOMES,ACADEMIA CEARENSE - CE,J,M
61,632,VASCO OLIVEIRA,ASMETT BRASÍLIA - DF,J,M
61,632,FELIPE RIBEIRO,ASSOCIAÇÃO MACEDO DE TÊNIS DE MESA-RJ,J,M
61,632,JOÃO VITOR NUNES,ASSOCIAÇÃO SÃO JOSÉ DOS PINHAIS - PR,J,M
61,632,AILTON MODESTO,YPIRANGA ESPORTE CLUBE - RO,J,M
65,631,GABRIEL GUNJI,SAMA ASSAÍ - PR,J,M
65,631,JOSÉ MARIANO,ASSOC. NOVA ERA DE T.M.-SP,J,M
65,631,JOSÉ GOES,ACADEMIA APUIARENSE - CE,J,M
65,631,CÉSAR VENCESLAU,ASSOCIAÇÃO CARIOCA DE TÊNIS DE MESA - RJ,J,M
65,631,ALEXANDRE WAKI,ASSOCIAÇÃO NIKKEY SÃO JOSÉ DOS CAMPOS - SP,J,M
70,630,DANIEL VIANA,NÁUTICO BOA VISTA,J,M
70,630,JOACIR ROCHA,SPORT CLUB RECIFE,J,M
70,630,LUCAS SILVA,ITAIM KEIKO / JJYAMADA - SP,J,M
70,630,BRUNO ROSA,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,J,M
70,630,DANIEL SILVA,ASSOCIAÇÃO NIKKEY SÃO JOSÉ DOS CAMPOS - SP,J,M
70,630,MARCO MARIA,ASSOC.DESP. MATOSTT DE TM/COL. DELTA/CLUBE COMERCIAL DE LORENA-SP,J,M
76,628,RICARDO ARAUJO,ASTM - ASSOCIAÇÃO SERRANA DE TÊNIS DE MESA-RJ,J,M
76,628,PEDRO SOUZA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,J,M
76,628,LEONARDO ROCHA,MADUREIRA ESPORTE CLUBE - RJ,J,M
79,627,RAFAEL LIMA,JARAGUÁ TÊNIS CLUBE - AL,J,M
80,626,LAERCIO GONCALVES,JUNDIAÍ CLUBE-SP,J,M
80,626,JOAO PEREIRA,ASSOCIAÇÃO ATLÉTICA UNICAP - PE,J,M
80,626,GUSTAVO NAKAGOME,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,J,M
80,626,LUCAS CARVALHO,ASSOCIAÇÃO REPRESA - SP,J,M
84,625,LUCAS RIBEIRO,ASSOC.DOS DEF.MOTORES DO CEARÁ - ADM,J,M
84,625,VINICIUS ALBANO,ASSOCIAÇÃO DOS MESATENISTAS DE GUAIRA-PR,J,M
84,625,JOSE PEDROSO,SPORT CLUB RECIFE,J,M
84,625,SAMUEL TIVES,FLUMINENSE FOOTBALL CLUB - RJ,J,M
84,625,SEVERINO SILVA,ASSOCIAÇÃO CARUARUENSE/IBRA/PMC- PE,J,M
84,625,JULIANO TASCA,NIPO BARREIRAS - BA,J,M
90,624,ALCIDES SCÓZ,ASSOCIAÇÃO TIMBOENSE - SC,J,M
90,624,ARTHUR CORDEIRO,NETO TT BAL. CAMBORIU SC,J,M
90,624,OSMAR CAMARGO,ASSOC. CULT. E ESP. DOS MESATENISTAS DE VOTORANTIM-SP,J,M
90,624,LUAN SOUZA,ATTEMES - SANTOS,J,M
90,624,DANILO SANTOS,CLUBE DE TÊNIS DE MESA JACAREÍ - SP,J,M
95,623,MARIO TAKAHAZI,SAMA ASSAÍ - PR,J,M
95,623,BRUNO AMORIM,ASSOC. DOS MESATENISTAS DE FLORIANOPOLIS-SC,J,M
95,623,GABRIEL BECKER,ASSOÇIAÇÃO DE TÊNIS DE MESA JARAGUAENSE-SC,J,M
95,623,PAULO GOUVEIA,PINGUINS INDAIAL-SC,J,M
95,623,GIORDANO RODRIGUES,ULBRA PALMAS - TO,J,M
100,622,GUILHERME SCHUENKE,ASSOCIAÇÃO JARAGUÁ DO SUL - SC,J,M
100,622,JOAO GOULART,SPORT CLUB RECIFE - PE,J,M
100,622,JULIO COSTA,ASSOC. CULT. E ESP. DOS MESATENISTAS DE VOTORANTIM-SP,J,M
100,622,EDSON NAKASATO,ASSOC. NOVA ERA DE T.M.-SP,J,M
104,621,MARCIO GOUVEA,ARTM/ACER ROLÂNDIA - PR,J,M
104,621,ANDRE BANDEIRA,APMDFESP - SP,J,M
104,621,MÁRIO MIYAZATO,ARTM/ACER ROLÂNDIA - PR,J,M
104,621,IAN CAMPOS,IDESCA/PALAS ATENA - AM,J,M
108,620,FABIO JUNIOR,CCBA GORILLA-ES,J,M
108,620,ANDRE BASTOS,ALDEOTA SUL,J,M
108,620,HENRY JOUTI,ITAIM KEIKO / JJYAMADA - SP,J,M
108,620,CHARLES PETERS,ASSOÇIAÇÃO DE TÊNIS DE MESA JARAGUAENSE-SC,J,M
112,618,JULIO OMORI,NIKKEI CURITIBA - PR,J,M
112,618,FELIPE AZEVEDO,FRANTT-TIBHAR/CAFÉ MORRO GRANDE/SELAM/PIRACICABA-SP,J,M
112,618,IAGO AGUIAR,SANTO ANDRÉ / ADSA - SP,J,M
112,618,KERLYN BLOCKWITZ,AITM/CVA/ITAPETININGA - SP,J,M
112,618,VALTER YOSHIHARA,JUNDIAÍ CLUBE-SP,J,M
117,617,EVANDRO VASCONCELOS,ASSOCIAÇÃO MANACAPURUENSE DE TÊNIS DE MESA -AM,J,M
118,616,DIOGO FIGUEIREDO,SPORT CLUB RECIFE,J,M
118,616,RAFAEL BASTOS,ASSOCIAÇÃO TERESINENSE DE TÊNIS DE MESA - PI,J,M
118,616,GEOVANE BOMBO,CLUBE DE CAMPO DE PIRACICABA-CCP-SP,J,M
118,616,RICARDO MOUREIRA,CLUBE CAMPESTRE CAJAZEIRENSE - PB - CNPJ ERRADO,J,M
122,615,LUCAS VITORINO,ASSOC.DESP. MATOSTT DE TM/COL. DELTA/CLUBE COMERCIAL DE LORENA-SP,J,M
122,615,PABLO COSTA,C.R VASCO DA GAMA - RJ,J,M
122,615,EMERSON ALBUQUERQUE,SPORT CLUB RECIFE - PE,J,M
125,614,PATRICK COSTA,ATTEMES - SANTOS,J,M
125,614,GUILHERME COSTA,ASSOCIAÇÃO VIDEIRENSE - SC,J,M
125,614,DOUGLAS MONTEIRO,ASSOCIAÇÃO ATLÉTICA SALTENSE-SP,J,M
125,614,FERNANDO JESUS,CERÂMICA CLUBE - MOGI GUAÇU - SP,J,M
125,614,JOSÉ TITO,CLUBE NÁUTICO DE VOLTA REDONDA - RJ,J,M
130,613,FLÁVIO YAMAGUISHI,NIKKEI CURITIBA - PR,J,M
130,613,THIAGO LIMA,NETO TT BAL. CAMBORIU SC,J,M
132,612,VICTOR TENORIO,ACADEMIA CEARENSE - CE,J,M
132,612,JOÃO SOUZA,BEREIANO NATAL,J,M
132,612,ALEXANDRE BARBOSA,JARAGUÁ TÊNIS CLUBE - AL,J,M
132,612,MARCOS ROCHA,ACTM ITAIM KEIKO/MACAPÁ - AP,J,M
132,612,WAGNER KURZAVA,ASSOC. SÃO BENTO DO SUL DE T.M.-SC,J,M
132,612,JOSÉ ANDRADE,LARANJAL PAULISTA,J,M
138,611,MARCELO REGO,ASSOCIAÇÃO ATLÉTICA UNICAP - PE,J,M
138,611,FRANCISCO MACIEL,AABB BRASÍLIA/RIZZONE - DF,J,M
138,611,HERMERSON GONCALVES,SPORT CLUB RECIFE,J,M
141,610,ADEMIR BIZOTO,AMERICANA - SP,J,M
141,610,HUGO MADOKORO,CLUBE ITUANO DE ESPORTES-SP,J,M
141,610,RODRIGO GILABERT,ADC ESTRELA / JOOLA / SANTOS FC / FUPES - SP,J,M
141,610,PEDRO MENTE,AITM/CVA/ITAPETININGA - SP,J,M
145,609,FAUSTO BURGOS,ASSOCIAÇÃO DESPORTIVA CABENSE - PE,J,M
145,609,LUIS GABRIEL,ASSOCIAÇÃO MANACAPURUENSE DE TÊNIS DE MESA -AM,J,M
145,609,PATRICK MINI,ASSOC. VARGINHENSE DE ESPORTE-MG,J,M
145,609,ALMIR BORTOLETO,ASSOCIAÇÃO RIOPRETENSE DE TENIS DE MESA - SP,J,M
145,609,FABIO MATSUMURA,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,J,M
145,609,ABÍLIO QUINGOSTA,ACTM ITAIM KEIKO/MACAPÁ - AP,J,M
145,609,EDSON MARROQUE,ASSOC. DOS MESATENISTAS DE CASCÁVEL-PR,J,M
145,609,LUCAS SOUZA,FEDERAÇÃO DE TÊNIS DE MESA DO ESTADO DE SÃO PAULO - SP,J,M
153,608,JOSE ALDO,JARAGUÁ TÊNIS CLUBE - AL,J,M
153,608,NESTOR SCHENKEL,JUNDIAÍ CLUBE-SP,J,M
153,608,GUILHERME MARTINS,ULBRA PALMAS - TO,J,M
153,608,CARLOS KOCH,ASSOCIAÇÃO DE TENIS DE MESA DE POUSO REDONDO-SC,J,M
153,608,MATHEUS SPINELLI,SÃO CARLOS TM - SP,J,M
153,608,MARCIO SOARES,DOJO NIC NETTO TENIS DE MESA-AM,J,M
153,608,ALAN AMARAL,MACAPA ESPORTE CLUBE - AP,J,M
160,606,GABRIEL SANTOS,ASMUC - CARAGUATATUBA - SP,J,M
160,606,MARCELO PAIXÃO,AABB-AP,J,M
160,606,ANTONIO MACEDO,SPORT CLUB RECIFE - PE,J,M
160,606,FERNANDO RIBEIRO,ASSOCIAÇÃO FEIRENSE - BA,J,M
160,606,FABIANO PORTO,C.R VASCO DA GAMA - RJ,J,M
165,605,JAIR ROCHA FILHO,ITAPIRA CLUBE,J,M
165,605,ANTONIO LUIS MARQUES FERREIRA,CEUB-ES,J,M
165,605,GUILHERME SUETOMI,NIPO CAMPO MOURÃO - PR,J,M
168,604,FERNANDO KUBO,MADUREIRA ESPORTE CLUBE - RJ,J,M
168,604,JOSÉ PINHEIRO,COMPUTEX FORTALEZA - CE,J,M
168,604,ANDERSON MACIEL,ACADEMIA CEARENSE - CE,J,M
168,604,FELIPE LANDIM,AABB FORTALEZA - CE,J,M
168,604,OSMAR PIRES,PINGUINS INDAIAL-SC,J,M
168,604,MÁRIO NAKAO,ITAIM KEIKO / JJYAMADA - SP,J,M
174,603,DAVID DOS SANTOS,CLUBE NIPO DE BRASÍLIA - DF,J,M
175,602,DANER SOUZA,ASSOC. SÃO BENTO DO SUL DE T.M.-SC,J,M
175,602,THIAGO MURAKAMI,KOSMOS CLUBE - SP,J,M
175,602,PEDRO CORREA,ASSOCIAÇÃO DE TENIS DE MESA DE FOZ DO IGUAÇU-PR,J,M
175,602,FRANCISCO SANTOS,CMB BARCARENA CLUBE - PA,J,M
175,602,BRUNO ADAM,JUNDIAÍ CLUBE-SP,J,M
175,602,PAULO ROQUE,EMEC PARAÍBA/ESTRELA DO MAR - PB - CNPJ??,J,M
181,601,MAX PECANHA,C.R VASCO DA GAMA - RJ,J,M
181,601,DANIEL ALMEIDA,APCEF SERGIPE - SE,J,M
181,601,ELIAS SILVA,ASSOCIAÇÃO DE TRÊS BARRAS - SC,J,M
181,601,DAWIS BARBOSA,YPIRANGA ESPORTE CLUBE - AP,J,M
185,600,GABRIEL RODRIGUES,ASSOCIAÇÃO SÃO JOSÉ DOS PINHAIS - PR,J,M
185,600,TADEU CALDAS,CLUBE MUNICIPAL RIO DE JANEIRO - RJ,J,M
185,600,JEFFERSON AGUIAR,ACADEMIA CEARENSE - CE,J,M
185,600,WILLIAM SANTOS,HEBRAICA RIO - RJ,J,M
189,599,RAMIRO NETO,SPORT CLUB RECIFE - PE,J,M
189,599,CELSO BRAÚNA,ASSOCIAÇÃO TERESINENSE DE TÊNIS DE MESA - PI,J,M
191,598,ORLON MACIEL,CENTRO CULTURAL 25 DE JULHO-SC,J,M
191,598,ARTHUR PEDROSO,ASSOCIAÇÃO CHAPECOENSE - SC,J,M
191,598,ALEXANDRE OLIVEIRA,SPORT CLUB RECIFE - PE,J,M
191,598,DIEGO ROCHA,NEW PLANET ATMAS FORTALEZA - CE,J,M
191,598,LUCAS SANTOS,ASMETT BRASÍLIA - DF,J,M
191,598,YASUO WATANABE,NIKKEI CURITIBA - PR,J,M
197,597,MAURICIO CALHAU,CAMAÇARIENSE TM - BA,J,M
197,597,ALLAN CAVALCANTI,BELFORD ROXO COUNTRY CLUBE-RJ,J,M
197,597,LUIZ LEMOS,PRÓ TÊNIS DE MESA DE JOAÇABA - SC,J,M
197,597,HIGO MOREIRA,ACTM ITAIM KEIKO/MACAPÁ - AP,J,M
201,596,LUIS NOGUEIRA,FLUMINENSE FOOTBALL CLUB - RJ,J,M
201,596,THIAGO SOUZA,JUNDIAÍ CLUBE-SP,J,M
201,596,VICTOR ROCHA,ALDEOTA SUL,J,M
201,596,NOBUHIKO CHIKARAISHI,NIKKEI ITAQUERA - SP,J,M
205,595,LEONARDO CAMPOS,NIKKEI CURITIBA - PR,J,M
205,595,ANANIAS GRANJEIRO,CLUBE ITUANO DE ESPORTES-SP,J,M
